Filepath Shape BGSM
Actors\Alien\CharacterAssets\Alien_Body.nif,Lo-Poly01:0,Materials\Gore\ExplodedMeatTileInsect.BGSM
Actors\Alien\CharacterAssets\Alien_Body.nif,Alien_01:0,Materials\actors\Alien\Alien_Body.BGSM
Actors\Alien\CharacterAssets\Alien_Glass.nif,Alien_02:0,Materials\actors\Alien\Alien_Glass.BGSM
Actors\Bloatfly\bloatflymeat.nif,UVbugmeat:0,Materials\actors\Bloatfly\meatbloatfly.BGSM
Actors\Bloatfly\Gland.nif,Box002:0,Materials\actors\Bloatfly\BloatflyGland.BGSM
Actors\Bloatfly\LS_BloatFly.nif,bloatFly01,Materials\actors\Bloatfly\Bloatfly.BGSM
Actors\Bloatfly\LS_BloatFly.nif,StaticBf02,Materials\actors\Bloatfly\Bloatfly.BGSM
Actors\Bloatfly\CharacterAssets\Bloatfly.nif,Bloatfly:0,Materials\actors\Bloatfly\Bloatfly.BGSM
Actors\Bloatfly\CharacterAssets\Bloatfly.nif,Bloatfly:1,Materials\actors\Bloatfly\BloatFlyWing.BGEM
Actors\Bloatfly\CharacterAssets\BloatflyDeathReplace.nif,MouthBit:0,Materials\actors\Bloatfly\Bloatfly.BGSM
Actors\Bloatfly\CharacterAssets\BloatflyDeathReplace.nif,Eye:0,Materials\actors\Bloatfly\Bloatfly.BGSM
Actors\Bloatfly\CharacterAssets\BloatflyDeathReplace.nif,LegBit4:0,Materials\actors\Bloatfly\Bloatfly.BGSM
Actors\Bloatfly\CharacterAssets\BloatflyDeathReplace.nif,LegBit03:0,Materials\actors\Bloatfly\Bloatfly.BGSM
Actors\Bloatfly\CharacterAssets\BloatflyDeathReplace.nif,LegBit02:0,Materials\actors\Bloatfly\Bloatfly.BGSM
Actors\Bloatfly\CharacterAssets\BloatflyDeathReplace.nif,LegBit01:0,Materials\actors\Bloatfly\Bloatfly.BGSM
Actors\Bloatfly\CharacterAssets\BloatflyDeathReplace.nif,Body:0,Materials\actors\Bloatfly\Bloatfly.BGSM
Actors\Bloatfly\CharacterAssets\BloatflyDeathReplace.nif,Chest:0,Materials\actors\Bloatfly\Bloatfly.BGSM
Actors\Bloatfly\CharacterAssets\BloatflyDeathReplace.nif,BackShell:0,Materials\actors\Bloatfly\Bloatfly.BGSM
Actors\Bloatfly\CharacterAssets\BloatflyDeathReplace.nif,TailTip01:0,Materials\actors\Bloatfly\Bloatfly.BGSM
Actors\Bloatfly\CharacterAssets\BloatflyExplodePelvis.nif,ChestMesh:0,Materials\actors\Bloatfly\Bloatfly.BGSM
Actors\Bloatfly\CharacterAssets\BloatflyFat.nif,BloatflyFat:0,Materials\actors\Bloatfly\Bloatfly.BGSM
Actors\Bloatfly\CharacterAssets\BloatflyFat.nif,BloatflyFat:1,Materials\actors\Bloatfly\BloatFlyWing.BGEM
Actors\Bloatfly\CharacterAssets\BloatflyFatGlow.nif,BloatflyFatGlow:0,Materials\actors\Bloatfly\Bloatfly.BGSM
Actors\Bloatfly\CharacterAssets\BloatflyFatGlow.nif,BloatflyFatGlow:1,Materials\actors\Bloatfly\BloatFlyWing.BGEM
Actors\Bloatfly\CharacterAssets\BloatflyFat_noBlur.nif,BloatflyFat_noBlur:0,Materials\actors\Bloatfly\Bloatfly.BGSM
Actors\Bloatfly\CharacterAssets\BloatflyFat_noBlur.nif,BloatflyFat_noBlur:1,materials\Actors\Bloatfly\BloatFlyWing.BGEM
Actors\Bloatfly\CharacterAssets\BloatflySkinny.nif,BloatflySkinny:0,Materials\actors\Bloatfly\Bloatfly.BGSM
Actors\Bloatfly\CharacterAssets\BloatflySkinny.nif,BloatflySkinny:1,Materials\actors\Bloatfly\BloatFlyWing.BGEM
Actors\Bloatfly\CharacterAssets\BloatflySkinny_NoBlur.nif,BloatflySkinny_NoBlur:0,Materials\actors\Bloatfly\Bloatfly.BGSM
Actors\Bloatfly\CharacterAssets\BloatflySkinny_NoBlur.nif,BloatflySkinny_NoBlur:1,materials\Actors\Bloatfly\BloatFlyWing.BGEM
Actors\Bloatfly\CharacterAssets\Bloatfly_noBlur.nif,Bloatfly_noBlur:0,Materials\actors\Bloatfly\Bloatfly.BGSM
Actors\Bloatfly\CharacterAssets\Bloatfly_noBlur.nif,Bloatfly_noBlur:1,Materials\actors\Bloatfly\BloatFlyWing.BGEM
Actors\Brahmin\CharacterAssets\Brahmin.nif,BodyCap01:0,Materials\Gore\ExplodedMeatTile.BGSM
Actors\Brahmin\CharacterAssets\Brahmin.nif,HeadCap01:0,Materials\Gore\ExplodedMeatTile.BGSM
Actors\Brahmin\CharacterAssets\Brahmin.nif,BodyCap02:0,Materials\Gore\ExplodedMeatTile.BGSM
Actors\Brahmin\CharacterAssets\Brahmin.nif,HeadCap02:0,Materials\Gore\ExplodedMeatTile.BGSM
Actors\Brahmin\CharacterAssets\Brahmin.nif,BrahminNoHornBase:0,Materials\actors\Brahmin\Brahmin.BGSM
Actors\Brahmin\CharacterAssets\BrahminExplodedArm.nif,Object003:1,materials\Gore\ExplodedMeatTile.BGSM
Actors\Brahmin\CharacterAssets\BrahminExplodedHead.nif,Object002:1,materials\Gore\ExplodedMeatTile.BGSM
Actors\Brahmin\CharacterAssets\BrahminExplodedLeg.nif,Object004:1,materials\Gore\ExplodedMeatTile.BGSM
Actors\Brahmin\CharacterAssets\BrahminExplodedPelvis.nif,BrahminMeatBalls:1,materials\Gore\ExplodedMeatTile.BGSM
Actors\Brahmin\CharacterAssets\BrahminExplodedPelvis.nif,Object001:1,materials\Gore\ExplodedMeatTile.BGSM
Actors\Brahmin\CharacterAssets\LBrahminHorns01.nif,LBrahminHorns01:0,Materials\actors\Brahmin\Brahmin.BGSM
Actors\Brahmin\CharacterAssets\LBrahminHorns01.nif,LBrahminHorns01:1,Materials\actors\Brahmin\BrahminAlpha.BGSM
Actors\Brahmin\CharacterAssets\LBrahminHorns02.nif,LBrahminHorns02:0,Materials\actors\Brahmin\BrahminAlpha.BGSM
Actors\Brahmin\CharacterAssets\LBrahminHorns02.nif,LBrahminHorns02:1,Materials\actors\Brahmin\Brahmin.BGSM
Actors\Brahmin\CharacterAssets\LBrahminHorns03.nif,LBrahminHorns03:0,Materials\actors\Brahmin\BrahminAlpha.BGSM
Actors\Brahmin\CharacterAssets\LBrahminHorns03.nif,LBrahminHorns03:1,Materials\actors\Brahmin\Brahmin.BGSM
Actors\Brahmin\CharacterAssets\PackBase01.nif,PackBaseNewRoot:0,Materials\actors\Brahmin\pack.BGSM
Actors\Brahmin\CharacterAssets\PackBase02.nif,PackBase02:0,Materials\actors\Brahmin\pack.BGSM
Actors\Brahmin\CharacterAssets\PackLight01.nif,PackLight01mesh:0,Materials\actors\Brahmin\pack.BGSM
Actors\Brahmin\CharacterAssets\PackLight02.nif,PackLight02:0,Materials\actors\Brahmin\pack.BGSM
Actors\Brahmin\CharacterAssets\PackTop01.nif,PackTop01newRoot:0,Materials\actors\Brahmin\pack.BGSM
Actors\Brahmin\CharacterAssets\PackTop02.nif,PackTop02:0,Materials\actors\Brahmin\pack.BGSM
Actors\Brahmin\CharacterAssets\RBrahminHorns01.nif,RBrahminHorns01:0,Materials\actors\Brahmin\BrahminAlpha.BGSM
Actors\Brahmin\CharacterAssets\RBrahminHorns01.nif,RBrahminHorns01:1,Materials\actors\Brahmin\Brahmin.BGSM
Actors\Brahmin\CharacterAssets\RBrahminHorns02.nif,RBrahminHorns02:0,Materials\actors\Brahmin\BrahminAlpha.BGSM
Actors\Brahmin\CharacterAssets\RBrahminHorns02.nif,RBrahminHorns02:1,Materials\actors\Brahmin\Brahmin.BGSM
Actors\Brahmin\CharacterAssets\RBrahminHorns03.nif,RBrahminHorns03:0,Materials\actors\Brahmin\BrahminAlpha.BGSM
